Id Marker Origin End X-origin Y-origin X-end Y-end
0 8 0 5 0 0 0 0.5
1 8 5 3 0 0.5 0 1
2 7 12 2 0.5 1 1 1
3 6 6 1 1 0.5 1 0
4 5 1 0 1 0 0 0
5 0 0 8 0 0 0.25 0.125
6 0 4 1 0.5 0.25 1 0
7 0 5 4 0 0.5 0.5 0.25
8 0 2 7 1 1 0.5 0.75
9 0 10 4 0.75 0.625 0.5 0.25
10 0 9 6 0.75 0.375 1 0.5
11 6 6 2 1 0.5 1 1
12 0 4 7 0.5 0.25 0.5 0.75
13 0 7 11 0.5 0.75 0.25 0.625
14 0 3 7 0 1 0.5 0.75
15 0 5 8 0 0.5 0.25 0.125
16 0 8 4 0.25 0.125 0.5 0.25
17 0 1 8 1 0 0.25 0.125
18 0 1 9 1 0 0.75 0.375
19 0 9 4 0.75 0.375 0.5 0.25
20 0 2 9 1 1 0.75 0.375
21 0 7 10 0.5 0.75 0.75 0.625
22 0 10 2 0.75 0.625 1 1
23 0 9 10 0.75 0.375 0.75 0.625
24 0 4 11 0.5 0.25 0.25 0.625
25 0 11 5 0.25 0.625 0 0.5
26 0 3 11 0 1 0.25 0.625
27 0 7 12 0.5 0.75 0.5 1
28 7 12 3 0.5 1 0 1
